剧目名称,剧种,地区,传承人,演员,年代,视频链接,简介
牡丹亭,昆曲,江苏,张继青,"张继青,王亨恺",1980年代,https://example.com/videos/mudanting.mp4,"明代汤显祖代表作，讲述杜丽娘与柳梦梅生死相恋的故事，昆曲经典剧目。"
长生殿,昆曲,江苏,蔡正仁,"蔡正仁,张静娴",1990年代,https://example.com/videos/changshengdian.mp4,"洪昇名作，演绎唐明皇与杨贵妃的爱情悲剧。"
霸王别姬,京剧,北京,梅兰芳,"梅兰芳,杨小楼",1930年代,https://example.com/videos/bawangbieji.mp4,"梅派代表剧目，讲述楚霸王项羽与虞姬的诀别。"
贵妃醉酒,京剧,北京,梅兰芳,"梅兰芳",1950年代,https://example.com/videos/guifeizuijiu.mp4,"梅派经典，杨贵妃百花亭醉酒抒怀。"
红楼梦,越剧,浙江,王文娟,"王文娟,徐玉兰",1960年代,https://example.com/videos/hongloumeng.mp4,"越剧经典，贾宝玉与林黛玉的爱情悲剧。"
梁山伯与祝英台,越剧,浙江,范瑞娟,"范瑞娟,傅全香",1950年代,https://example.com/videos/liangzhu.mp4,"越剧骨子老戏，化蝶传说千古流传。"
天仙配,黄梅戏,安徽,严凤英,"严凤英,王少舫",1950年代,https://example.com/videos/tianxianpei.mp4,"黄梅戏代表作，七仙女与董永的爱情故事。"
女驸马,黄梅戏,安徽,严凤英,"严凤英,潘璟琍",1960年代,https://example.com/videos/nvfuma.mp4,"冯素珍女扮男装中状元，救夫团圆。"
花木兰,豫剧,河南,常香玉,"常香玉",1950年代,https://example.com/videos/huamulan.mp4,"常派名剧，花木兰替父从军。"
穆桂英挂帅,豫剧,河南,马金凤,"马金凤",1950年代,https://example.com/videos/muguiying.mp4,"马派代表作，穆桂英五十三岁重披战甲。"
白蛇传,川剧,四川,陈书舫,"陈书舫,周企何",1960年代,https://example.com/videos/baishezhuan.mp4,"川剧经典，白娘子与许仙，含变脸吐火绝活。"
芙蓉花仙,川剧,四川,许倩云,"许倩云",1980年代,https://example.com/videos/furonghuaxian.mp4,"川剧神话剧，花仙与书生的爱情故事。"
帝女花,粤剧,广东,白雪仙,"白雪仙,任剑辉",1950年代,https://example.com/videos/dinvhua.mp4,"任白经典，长平公主与周世显的殉国爱情。"
紫钗记,粤剧,广东,白雪仙,"白雪仙,任剑辉",1960年代,https://example.com/videos/zichaiji.mp4,"汤显祖临川四梦改编，李益与霍小玉的故事。"
花为媒,评剧,河北,新凤霞,"新凤霞,赵丽蓉",1960年代,https://example.com/videos/huaweimei.mp4,"评剧喜剧经典，张五可与贾俊英的姻缘。"
秦香莲,评剧,河北,小白玉霜,"小白玉霜",1950年代,https://example.com/videos/qinxianglian.mp4,"评剧骨子老戏，秦香莲状告陈世美。"
三滴血,秦腔,陕西,刘毓中,"刘毓中",1960年代,https://example.com/videos/sandixue.mp4,"秦腔百年名剧，讽刺滴血认亲的荒诞。"
刘海砍樵,花鼓戏,湖南,何冬保,"何冬保,肖重珪",1950年代,https://example.com/videos/liuhaikanqiao.mp4,"湖南花鼓戏代表作，刘海与胡秀英的爱情。"
